Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Caller","_RTC_CheckEsp","`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","`dynamic initializer for 'std::_Error_objects<int>::_System_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","main",21,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::_Generic_error_category::_Generic_error_category",3,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::_Generic_error_category::~_Generic_error_category",3,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::_Iostream_error_category::_Iostream_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::_Iostream_error_category::~_Iostream_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::_System_error_category::_System_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::_System_error_category::~_System_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::basic_ostream<char,std::char_traits<char> >::_Sentry_base::_Sentry_base",216,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::basic_ostream<char,std::char_traits<char> >::_Sentry_base::~_Sentry_base",216,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::basic_ostream<char,std::char_traits<char> >::sentry::~sentry",162,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::basic_ostream<char,std::char_traits<char> >::sentry::sentry",216,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::char_traits<char>::length",10,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::endl<char,std::char_traits<char> >",80,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::operator<<<std::char_traits<char> >",70,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","std::operator<<<std::char_traits<char> >",308,0.11,0.11,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String::~String",2,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String::append",7,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String::print",6,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String::String",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String::String",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String_Buffer::`scalar deleting destructor'",2,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String_Buffer::~String_Buffer",2,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String_Buffer::allocate",2,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String_Buffer::append",7,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String_Buffer::print",6,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String_Buffer::String_Buffer",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckEsp","String_Buffer::String_Buffer",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","_RTC_CheckStackVars","_RTC_CheckStackVars",55,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckStackVars","main",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckStackVars","std::operator<<<std::char_traits<char> >",10,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_CheckStackVars","std::operator<<<std::char_traits<char> >",44,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Root","_RTC_Initialize","_RTC_Initialize",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","_RTC_Initialize","pre_c_init",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","_RTC_Terminate","_RTC_Terminate",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
